Column,Coefficient
age_at_MRI,3.1199380589383146
Sex,5.656695694199356
DAo_min_area,2.7948637921820976
Height,-1.1512289203574895
Weight_at_MRI,2.3277562018794398
LVEDV,-1.738139949670469
age*sex,-4.709806010913631
age^2,-4.148755870266911
