Column,Coefficient,Abs_Coefficient
Sex,5.656695694199356,5.656695694199356
age*sex,-4.709806010913631,4.709806010913631
age^2,-4.148755870266911,4.148755870266911
age_at_MRI,3.1199380589383146,3.1199380589383146
DAo_min_area,2.7948637921820976,2.7948637921820976
Weight_at_MRI,2.3277562018794398,2.3277562018794398
LVEDV,-1.738139949670469,1.738139949670469
Height,-1.1512289203574895,1.1512289203574895
